team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Nice,NICREI,2,15,13,2,0,Win
Clermont,CLELIL,0,16,18,2,0,Draw
Metz,METBRE,0,6,14,3,0,Loss
Strasbourg,"STRLE ",2,12,14,3,0,Win
Lyon,LYOTOU,3,15,15,2,0,Win
Lorient,LORMAR,2,15,17,5,0,Loss
Monaco,MONLYO,0,19,13,1,0,Loss
"Le Havre","LE NIC",3,9,13,3,1,Win
Lens,LENREI,2,7,9,0,0,Win
Nantes,NANBRE,0,12,15,1,0,Loss
Lorient,LORSTR,1,7,14,3,0,Loss
Metz,METMON,0,19,15,2,0,Loss
Toulouse,TOUREN,0,15,17,3,0,Draw
Marseille,MARCLE,2,15,12,0,0,Win
Lille,LILPAR,1,15,9,1,0,Draw
Brest,BRELOR,4,12,8,1,0,Win
Clermont,CLEREN,1,14,8,0,1,Loss
Lyon,LYONAN,1,8,8,1,1,Win
Montpellier,MONMAR,1,12,21,2,0,Draw
Nice,NICLEN,2,14,14,2,0,Win
"Paris SG",PARMET,3,13,6,0,0,Win
Reims,"REILE ",1,22,7,1,0,Win
Strasbourg,STRLIL,2,9,19,1,0,Win
Toulouse,TOUMON,1,20,17,2,0,Loss
Marseille,MARSTR,1,8,11,3,0,Draw
Monaco,MONREI,1,9,11,3,0,Loss
Rennes,RENNIC,2,15,13,1,0,Win
Lille,LILLOR,3,24,10,1,0,Win
Brest,BREMON,2,26,6,1,0,Win
Metz,METTOU,0,14,20,3,1,Loss
Nantes,NANCLE,1,20,10,1,1,Loss
"Le Havre","LE LYO",3,14,15,1,0,Win
Lens,LENPAR,0,17,10,0,1,Loss
Lyon,LYOREN,2,12,15,2,0,Loss
Nice,NICMET,1,15,10,1,0,Win
Marseille,MARMON,2,22,11,1,0,Draw
Montpellier,MONLIL,0,12,13,4,0,Draw
Clermont,CLESTR,1,14,12,1,0,Draw
Lorient,"LORLE ",3,13,15,4,0,Draw
Reims,REINAN,0,10,8,3,0,Draw
Toulouse,TOULEN,0,13,11,3,0,Loss
"Paris SG",PARBRE,2,10,12,5,1,Draw
Strasbourg,STRPAR,1,20,12,3,0,Loss
Rennes,RENMON,2,9,17,4,0,Win
Nantes,NANLEN,0,7,16,2,0,Loss
Monaco,"MONLE ",1,17,16,3,0,Draw
Lille,LILCLE,4,23,8,0,0,Win
Metz,METLOR,1,10,12,3,0,Loss
Reims,REITOU,2,17,13,2,0,Loss
Brest,BRENIC,0,17,12,3,0,Draw
Lyon,LYOMAR,1,12,14,2,0,Win
Marseille,MARMET,1,18,12,2,1,Draw
Lens,LENSTR,3,10,14,2,0,Win
"Paris SG",PARLIL,3,16,12,2,0,Win
"Le Havre","LE REN",0,13,14,2,0,Loss
Clermont,CLEBRE,1,7,12,2,1,Draw
Lorient,LORREI,2,17,9,1,0,Win
Toulouse,TOUNAN,1,16,10,2,0,Loss
Montpellier,MONLYO,1,15,11,1,0,Loss
Nice,NICMON,2,15,17,5,1,Loss
Lyon,LYONIC,1,9,8,0,0,Win
Lille,"LILLE ",3,17,11,2,0,Win
Nantes,NANPAR,0,12,10,1,0,Loss
Strasbourg,STRLOR,1,18,13,3,1,Loss
Monaco,MONTOU,1,22,18,1,0,Loss
Montpellier,MONMET,3,21,17,3,0,Win
Rennes,RENCLE,3,16,9,1,0,Win
Reims,REILEN,1,11,15,2,0,Draw
Brest,BREMAR,1,15,14,3,1,Win
Metz,METLYO,1,15,13,1,0,Loss
Lorient,LORNAN,0,6,11,0,0,Loss
Strasbourg,STRBRE,0,6,21,3,0,Loss
Lens,LENMON,2,20,10,6,0,Loss
"Le Havre","LE REI",1,18,11,3,0,Loss
Nice,NICCLE,0,23,8,2,0,Draw
Toulouse,TOULIL,3,14,20,2,0,Win
"Paris SG",PARREN,1,15,13,5,0,Draw
Marseille,MARMON,4,16,8,2,0,Win
Monaco,MONPAR,0,14,10,0,0,Draw
Reims,REILIL,0,8,12,3,0,Loss
Clermont,CLEMAR,1,7,9,2,0,Loss
Toulouse,TOUNIC,2,17,16,2,0,Win
Brest,"BRELE ",1,8,21,4,0,Win
Montpellier,MONSTR,2,21,12,1,0,Draw
Nantes,NANMET,0,9,7,3,0,Loss
Rennes,RENLOR,1,22,12,1,0,Loss
Lyon,LYOLEN,0,13,5,0,1,Loss
Nice,NICMON,1,19,13,1,0,Loss
Lorient,LORLYO,0,9,10,0,0,Loss
Lens,LENBRE,1,6,13,1,0,Win
"Paris SG",PARREI,2,19,10,2,0,Draw
"Le Havre","LE TOU",1,12,12,1,0,Win
Metz,METCLE,1,11,10,1,0,Win
Strasbourg,STRMON,0,8,9,1,0,Loss
Lille,LILREN,2,15,17,5,0,Draw
Marseille,MARNAN,2,12,11,2,0,Win
Toulouse,TOULYO,2,13,18,2,0,Loss
Nantes,NANSTR,1,11,16,2,0,Loss
Lens,LENNIC,1,20,9,4,0,Loss
Brest,BRELIL,1,16,9,3,0,Draw
Clermont,"CLELE ",2,9,13,3,1,Win
Monaco,MONLOR,2,23,21,3,1,Draw
Reims,REIMET,2,17,17,4,0,Win
Rennes,RENMAR,2,7,9,1,0,Win
Montpellier,MONPAR,2,12,9,0,0,Loss
Lille,LILLEN,2,15,13,3,0,Win
Metz,METMON,2,13,8,0,0,Loss
Lyon,LYOREI,1,16,7,2,0,Draw
Lorient,LORBRE,0,11,10,1,0,Loss
Clermont,CLETOU,0,15,15,3,0,Loss
"Le Havre","LE MON",0,14,10,2,0,Loss
Nice,NICNAN,1,12,7,2,0,Loss
Strasbourg,STRREN,2,14,10,1,0,Win
Marseille,MARPAR,0,22,10,0,0,Loss
Lille,LILMAR,3,14,13,1,0,Win
Lens,"LENLE ",1,18,13,2,0,Draw
"Paris SG",PARCLE,1,23,11,1,0,Draw
Brest,BREMET,4,24,11,0,0,Win
Montpellier,MONLOR,2,13,11,3,0,Win
Reims,REINIC,0,10,15,2,0,Draw
Toulouse,TOUSTR,0,11,16,2,0,Draw
Monaco,MONREN,1,16,16,3,1,Win
Nantes,NANLYO,1,14,8,2,0,Loss
Metz,METLEN,2,11,11,2,0,Win
Strasbourg,STRREI,3,13,9,1,0,Win
Rennes,RENTOU,1,19,20,3,0,Loss
"Le Havre","LE NAN",0,10,14,3,0,Loss
Clermont,CLEMON,1,10,12,1,0,Draw
Lyon,LYOBRE,4,16,12,5,1,Win
Nice,NICLOR,3,19,11,0,0,Win
Nantes,NANREN,0,6,16,1,0,Loss
Lens,LENCLE,1,17,17,1,0,Win
"Le Havre","LE MET",0,16,9,2,0,Loss
Lille,LILSTR,1,6,11,2,0,Win
Reims,REIMON,1,22,15,3,0,Loss
Brest,BREMON,0,12,8,5,0,Loss
Toulouse,TOUMAR,2,10,11,1,0,Draw
"Paris SG",PARLYO,4,14,9,0,0,Win
Lorient,LORPAR,1,11,8,1,0,Loss
Marseille,MARNIC,2,11,10,2,1,Draw
Monaco,MONLIL,1,19,9,1,0,Win
Montpellier,MONNAN,1,8,11,2,2,Draw
"Paris SG","PARLE ",3,17,10,2,0,Draw
