team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Lorient,NICLOR,0,9,7,2,0,Loss
Rennes,NANREN,3,14,11,4,0,Win
Clermont,LENCLE,0,8,17,4,0,Loss
Metz,"LE MET",1,9,19,3,0,Win
Strasbourg,LILSTR,0,8,19,3,0,Loss
Montpellier,REIMON,2,12,10,3,0,Win
Monaco,BREMON,2,8,9,2,2,Win
Marseille,TOUMAR,2,11,13,2,0,Draw
Lyon,PARLYO,1,16,10,0,0,Loss
"Paris SG",LORPAR,4,15,7,1,0,Win
Nice,MARNIC,2,10,14,3,0,Draw
Lille,MONLIL,0,13,9,2,0,Loss
Nantes,MONNAN,1,15,14,1,0,Draw
"Le Havre","PARLE ",3,6,8,1,0,Draw
Lille,METLIL,2,14,12,2,0,Win
Reims,CLEREI,1,10,12,3,1,Loss
Toulouse,LORTOU,2,14,17,3,0,Win
Nice,STRNIC,3,8,14,3,0,Win
Brest,RENBRE,5,10,15,1,0,Win
Monaco,LYOMON,2,13,14,3,0,Loss
Lens,MARLEN,1,18,12,2,0,Loss
Montpellier,TOUMON,2,5,14,4,1,Win
Lorient,LENLOR,0,11,14,2,0,Loss
Strasbourg,"LE STR",1,5,13,1,0,Loss
Clermont,MONCLE,1,9,12,1,0,Loss
Rennes,METREN,3,21,14,3,0,Win
Nantes,BRENAN,0,9,14,2,0,Draw
Lyon,LILLYO,4,11,14,1,0,Win
Reims,BREREI,1,8,12,3,0,Draw
"Le Havre","NICLE ",0,12,9,0,0,Loss
Lyon,CLELYO,1,6,12,2,0,Win
Lorient,MARLOR,1,14,6,4,0,Loss
Monaco,MONMON,2,19,10,1,0,Win
Lille,NANLIL,2,12,7,2,0,Win
Toulouse,PARTOU,3,18,8,0,0,Win
Lens,RENLEN,1,8,14,3,0,Draw
Metz,STRMET,1,11,10,2,0,Loss
"Paris SG",NICPAR,2,11,10,3,0,Win
Marseille,REIMAR,0,19,9,1,0,Loss
Marseille,"LE MAR",2,22,11,0,0,Win
Montpellier,LENMON,2,11,13,1,0,Draw
Nice,LILNIC,2,10,9,3,0,Draw
Clermont,LORCLE,0,9,8,3,0,Loss
Strasbourg,LYOSTR,1,10,10,0,0,Loss
"Paris SG",METPAR,2,20,9,1,0,Win
Nantes,MONNAN,0,6,23,2,0,Loss
Rennes,REIREN,1,15,17,1,0,Loss
Brest,TOUBRE,3,12,17,2,0,Win
